panelist_id,polarity,term
aisha,forbidden,tapestry
aisha,forbidden,intersection
aisha,forbidden,resonates
aisha,forbidden,beautifully
aisha,forbidden,immersive
jaden,forbidden,tapestry
jaden,forbidden,nuance
jaden,forbidden,intersection
jaden,forbidden,constitutional
jaden,forbidden,ostensibly
jaden,forbidden,whilst
nikhil,required,politics
nikhil,required,writing
nikhil,required,nuance
nikhil,required,craft
nikhil,forbidden,lit
nikhil,forbidden,banger
nikhil,forbidden,mid
nikhil,forbidden,cosy
sophie,required,baby
sophie,required,night
sophie,required,tired
sophie,required,heavy
sophie,forbidden,constitutional
sophie,forbidden,ostensibly
sophie,forbidden,tapestry
sophie,forbidden,intersection
marcus,required,politics
marcus,required,history
marcus,required,country
marcus,required,community
marcus,forbidden,mid
marcus,forbidden,lit
marcus,forbidden,cosy
marcus,forbidden,vibes
priya,required,tone
priya,required,slot
priya,required,craft
priya,required,bedtime
priya,forbidden,lit
priya,forbidden,vibes
priya,forbidden,mid
priya,forbidden,banger
geoffrey,required,constitutional
geoffrey,required,policy
geoffrey,required,serious
geoffrey,required,exemplary
geoffrey,forbidden,mid
geoffrey,forbidden,lit
geoffrey,forbidden,banger
geoffrey,forbidden,cosy
rita,required,love
rita,required,bit
rita,required,miserable
rita,forbidden,constitutional
rita,forbidden,ostensibly
rita,forbidden,tapestry
rita,forbidden,exemplary
daniel,required,catch-up
daniel,required,runtime
daniel,required,trust
daniel,forbidden,tapestry
daniel,forbidden,cosy
daniel,forbidden,charming
daniel,forbidden,delightful
daniel,forbidden,heart-warming
margaret,required,thread
margaret,required,trust
margaret,required,handsome
margaret,forbidden,mid
margaret,forbidden,lit
margaret,forbidden,banger
margaret,forbidden,vibes
