panelist_id,polarity,term
lena,required,team
lena,required,bookmark
lena,required,measurable
lena,forbidden,revolutionary
lena,forbidden,game-changing
lena,forbidden,unleash
lena,forbidden,paradigm
diego,required,methodology
diego,required,trade-offs
diego,required,study
diego,required,panel
diego,forbidden,hot take
diego,forbidden,banger
diego,forbidden,paradigm
aanya,required,schema
aanya,required,reproducible
aanya,required,deterministic
aanya,required,eval
aanya,forbidden,paradigm
aanya,forbidden,unleash
aanya,forbidden,delight
aanya,forbidden,magical
tom,required,strategy
tom,required,commissioning
tom,required,brief
tom,required,methods
tom,forbidden,banger
tom,forbidden,lit
tom,forbidden,vibes
hannah,required,validation
hannah,required,respondents
hannah,required,measurement
hannah,required,validity
hannah,forbidden,paradigm
hannah,forbidden,revolutionary
hannah,forbidden,banger
hannah,forbidden,delight
wei,required,primitive
wei,required,moat
wei,required,narrator
wei,required,prompt
wei,forbidden,delight
wei,forbidden,banger
wei,forbidden,unleash
rachel,required,deck
rachel,required,client
rachel,required,literally
rachel,required,vibes
rachel,forbidden,methodology
rachel,forbidden,validity
rachel,forbidden,heuristic
rachel,forbidden,measured
felipe,required,category
felipe,required,methodology
felipe,required,measured
felipe,required,validity
felipe,forbidden,banger
felipe,forbidden,vibes
felipe,forbidden,lit
felipe,forbidden,delight
karim,required,graph
karim,required,inspectable
karim,required,scorer
karim,required,runner
karim,forbidden,paradigm
karim,forbidden,delight
karim,forbidden,magical
karim,forbidden,unleash
jenny,required,considered
jenny,required,brief
jenny,required,exec
jenny,required,strategy
jenny,forbidden,banger
jenny,forbidden,lit
jenny,forbidden,vibes
jenny,forbidden,paradigm
